scene,reference,own_photo_retrieved,sift_matches,loo_reference,entropy_vis,entropy_ir,entropy_fused,avg_gradient_vis,avg_gradient_fused,spatial_freq_vis,spatial_freq_fused,colorfulness_false,colorfulness_recoloured
Balls,Balls,True,9,Kaptein_01,7.066,6.61,7.969,5.637,9.916,10.871,18.268,34.96,60.86
Bosnia,Marne_07,False,6,Marne_07,6.196,6.925,7.888,5.474,20.252,10.346,37.211,45.14,31.88
Farm,pancake_house,False,17,pancake_house,7.382,6.818,7.556,2.983,5.094,6.505,10.104,128.15,56.25
House,pancake_house,False,11,pancake_house,6.781,7.33,7.911,3.999,8.195,7.514,15.106,72.82,56.6
Kaptein_01,Kaptein_01,True,15,pancake_house,7.086,7.147,7.896,3.765,6.754,7.562,12.479,57.57,36.01
Kaptein_1123,Marne_07,False,16,Marne_07,7.101,6.968,7.698,3.779,7.867,8.384,13.63,93.72,30.61
Kaptein_1654,Kaptein_19,False,5,Kaptein_19,7.118,6.38,7.859,6.037,11.83,12.523,20.851,81.97,25.84
Kaptein_19,Marne_07,False,12,Marne_07,7.137,7.256,7.897,5.674,9.093,11.806,16.081,31.34,32.4
Marne_01,Marne_01,True,25,Marne_09,6.926,6.927,6.654,3.191,7.356,6.814,17.446,192.88,27.89
Marne_02,Marne_01,False,9,Marne_01,6.798,7.233,7.053,3.101,9.207,7.043,23.571,160.71,27.47
Marne_03,pancake_house,False,27,pancake_house,7.056,7.304,7.184,3.101,5.935,5.509,14.363,181.99,60.39
Marne_04,Marne_04,True,11,Vlasakkers,7.02,7.592,7.43,3.159,6.235,5.722,12.81,163.18,22.09
Marne_06,Marne_06,True,15,Marne_01,7.065,7.274,7.448,3.207,7.641,5.854,20.617,149.89,37.42
Marne_07,Marne_07,True,15,Kaptein_19,7.055,7.516,7.198,3.416,7.468,6.589,16.296,172.82,32.34
Marne_09,pancake_house,False,16,pancake_house,6.828,7.325,6.377,3.006,6.161,6.253,13.467,195.55,61.14
Marne_11,Marne_11,True,9,Marne_03,7.082,7.322,7.291,3.256,6.712,5.687,16.894,171.33,39.93
Movie_01,House,False,23,House,6.781,6.936,6.959,1.814,7.173,4.042,19.347,179.06,37.44
Reek,Marne_07,False,13,Marne_07,7.097,6.096,7.843,4.275,6.989,9.234,13.827,95.62,32.42
Veluwe,pancake_house,False,4,pancake_house,6.225,6.237,6.893,3.697,7.354,9.456,18.745,32.12,63.4
Vlasakkers,Vlasakkers,True,12,Marne_07,7.575,7.259,7.912,5.248,7.037,9.493,13.541,49.26,47.13
barbed_wire_1,Marne_02,False,5,Marne_02,6.337,7.05,7.181,8.963,25.661,15.721,46.501,141.82,37.26
pancake_house,pancake_house,True,161,Farm,7.418,7.055,7.69,10.026,13.526,25.377,30.774,127.78,59.37
soldier_behind_smoke,pancake_house,False,23,pancake_house,7.081,7.135,7.681,4.863,10.315,8.556,21.11,139.28,58.34
